,Category,Example0,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20,Example21,Example22,Example23,Example24,Example25,Example26,Example27,Example28,Example29,Example30,Example31,Example32,Example33,Example34,Example35,Example36,Example37,Example38,Example39,Example40,Example41,Example42,Example43,Example44,Example45,Example46,Example47,Example48,Example49,Example50,Example51,Example52,Example53,Example54,Example55,Example56,Example57,Example58,Example59,Example60,Example61,Example62,Example63,Example64,Example65,Example66,Example67,Example68,Example69,Example70,Example71,Example72,Example73,Example74,Example75,Example76,Example77,Example78,Example79,Example80,Example81,Example82,Example83,Example84,Example85,Example86,Example87,Example88,Example89,Example90,Example91,Example92,Example93,Example94,Example95,Example96,Example97,Example98,Example99
10,prep,0.0833,0.0556,0.1429,0.1429,0.0635,0.1667,0.1538,0.2609,0.1579,0.0842,0.1538,0.1518,0.1171,0.0909,0.1143,0.1818,0.1053,0.1304,0.1053,0.0606,0.1111,0.1176,0.2,0.0833,0.0667,0.1042,0.1429,0.1429,0.1429,0.129,0.1429,0.125,0.1497,0.087,0.1652,0.1465,0.1765,0.1066,0.1418,0.129,0.1194,0.1443,0.1728,0.1136,0.1957,0.25,0.0833,0.1408,0.141,0.1301,0.1731,0.1495,0.1071,0.0909,0.1429,0.1471,0.0787,0.125,0.1154,0.1667,0.0833,0.1591,0.1538,0.04,0.1667,0.0939,0.0625,0.0,0.2,0.0984,0.1579,0.05,0.15,0.129,0.0972,0.1452,0.1667,0.1317,0.15,0.1389,0.2143,0.0,0.1111,0.1325,0.1613,0.1333,0.24,0.2115,0.1216,0.1277,0.0667,0.1,0.1449,0.0,0.1081,0.0926,0.1739,0.0893,0.1667,0.197
11,auxverb,0.1667,0.1111,0.0,0.0476,0.127,0.1667,0.1346,0.0652,0.1053,0.0696,0.0462,0.0536,0.1171,0.0606,0.0714,0.0909,0.0451,0.2174,0.0,0.0606,0.0694,0.1176,0.08,0.0714,0.1,0.1042,0.0714,0.1281,0.1429,0.1129,0.068,0.125,0.0476,0.0435,0.0522,0.0382,0.098,0.1393,0.0638,0.1183,0.1045,0.0825,0.0988,0.0606,0.0217,0.0,0.0,0.0986,0.0641,0.1027,0.0577,0.0981,0.0714,0.1212,0.0571,0.0829,0.1011,0.0865,0.1154,0.0833,0.125,0.0682,0.1154,0.12,0.0625,0.0994,0.125,0.0,0.0667,0.0984,0.0526,0.15,0.1,0.129,0.0556,0.0806,0.0833,0.0838,0.05,0.0833,0.0408,0.1667,0.1111,0.0723,0.0806,0.0333,0.04,0.0385,0.0135,0.0426,0.0667,0.1333,0.0725,0.25,0.1622,0.1296,0.0652,0.0179,0.0,0.0303
12,adverb,0.125,0.0556,0.0,0.0238,0.0635,0.0417,0.0962,0.0435,0.0526,0.0623,0.0308,0.0446,0.0991,0.0,0.0429,0.0,0.0451,0.087,0.0,0.0606,0.0694,0.0,0.0533,0.0476,0.1,0.0833,0.0714,0.0591,0.0476,0.0161,0.0408,0.0312,0.034,0.0435,0.0522,0.0701,0.0392,0.041,0.078,0.043,0.1045,0.0825,0.0494,0.0379,0.0,0.0,0.1667,0.0845,0.0513,0.0479,0.0385,0.0748,0.0357,0.0303,0.0571,0.0535,0.0337,0.0385,0.0769,0.0833,0.0833,0.0682,0.0,0.04,0.0,0.0663,0.0625,0.0,0.0,0.0492,0.0789,0.05,0.05,0.0968,0.0278,0.0645,0.0,0.024,0.0,0.0556,0.0408,0.0833,0.0,0.0361,0.0484,0.0333,0.0,0.0962,0.0405,0.0426,0.0,0.0333,0.0,0.125,0.1081,0.0556,0.1087,0.0357,0.1667,0.0152
13,conj,0.0417,0.1111,0.0357,0.0476,0.0635,0.0417,0.0,0.0435,0.1053,0.0623,0.0308,0.0625,0.0721,0.0909,0.0571,0.0303,0.0376,0.087,0.0263,0.1212,0.0278,0.0588,0.08,0.0714,0.0333,0.0729,0.0476,0.069,0.0595,0.0323,0.0544,0.0312,0.0612,0.0435,0.0348,0.0892,0.0196,0.1148,0.078,0.0753,0.0896,0.1031,0.1235,0.0606,0.0435,0.0,0.0833,0.0704,0.0513,0.0479,0.0769,0.0794,0.0,0.0606,0.0571,0.0775,0.0449,0.0865,0.1154,0.0833,0.0417,0.1136,0.0,0.08,0.0,0.0718,0.0625,0.0,0.0,0.0492,0.1579,0.1,0.0,0.0,0.0833,0.0887,0.0,0.0659,0.0,0.1111,0.0204,0.1667,0.1111,0.0482,0.0645,0.0333,0.0,0.0577,0.0676,0.0426,0.0333,0.0333,0.058,0.125,0.027,0.0926,0.0652,0.1071,0.1667,0.0758
14,negate,0.0417,0.0,0.0,0.0,0.0159,0.0,0.0192,0.0,0.0,0.0073,0.0154,0.0,0.027,0.0,0.0143,0.0,0.0,0.0,0.0263,0.0909,0.0,0.1176,0.0267,0.0,0.0333,0.0104,0.0238,0.0246,0.0119,0.0161,0.0,0.0,0.0068,0.0,0.0,0.0,0.0,0.0164,0.0,0.0323,0.0,0.0206,0.0,0.0,0.0,0.0,0.0,0.0141,0.0,0.0068,0.0,0.0047,0.0,0.0,0.0,0.008,0.0,0.0,0.0192,0.0,0.0,0.0,0.0,0.02,0.0,0.0166,0.0,0.0,0.0667,0.0164,0.0,0.0,0.0,0.0645,0.0,0.0,0.0,0.006,0.0,0.0,0.0102,0.0,0.0,0.0,0.0161,0.0,0.0,0.0,0.0135,0.0,0.0,0.0,0.0,0.0,0.0,0.0185,0.0,0.0357,0.0833,0.0455
15,verb,0.25,0.2222,0.2143,0.2143,0.254,0.125,0.1731,0.1957,0.1579,0.1538,0.1846,0.1964,0.2252,0.1515,0.1143,0.1515,0.2105,0.1304,0.1053,0.1515,0.125,0.1176,0.12,0.2024,0.2333,0.1562,0.1429,0.2167,0.1786,0.1452,0.1973,0.2812,0.1293,0.0435,0.1217,0.1465,0.2745,0.1803,0.1915,0.2043,0.1791,0.2062,0.2222,0.1364,0.1739,0.125,0.0833,0.1549,0.1667,0.1644,0.0769,0.1729,0.1071,0.1515,0.1143,0.139,0.1573,0.1442,0.1346,0.4167,0.2917,0.1364,0.1923,0.22,0.25,0.1271,0.1875,0.0,0.2,0.1311,0.1316,0.175,0.25,0.2581,0.125,0.1613,0.1667,0.1377,0.1,0.1944,0.1224,0.25,0.1667,0.1687,0.1613,0.1333,0.16,0.1346,0.0676,0.1064,0.1,0.2333,0.2029,0.25,0.2703,0.2407,0.1522,0.1071,0.0,0.0909
16,adj,0.0,0.0556,0.2143,0.0476,0.0317,0.0417,0.0769,0.0,0.0526,0.1026,0.1077,0.0268,0.045,0.0606,0.0286,0.1212,0.0602,0.1304,0.0,0.0,0.0417,0.0588,0.0533,0.0476,0.0333,0.0208,0.0476,0.0296,0.0238,0.0968,0.068,0.125,0.0476,0.087,0.0783,0.0446,0.0,0.0246,0.078,0.0215,0.0746,0.0515,0.0617,0.053,0.0435,0.0,0.0,0.0282,0.0769,0.0205,0.0577,0.0607,0.1071,0.0303,0.0571,0.0294,0.0899,0.0288,0.0385,0.0833,0.0833,0.0909,0.0,0.04,0.0208,0.0773,0.0625,0.0,0.0,0.1148,0.0526,0.0,0.05,0.0645,0.0,0.0565,0.0,0.024,0.05,0.0556,0.0918,0.0,0.0,0.0602,0.0161,0.0333,0.0,0.0385,0.0811,0.0851,0.0333,0.0667,0.0145,0.0,0.1081,0.0741,0.0435,0.0357,0.0,0.0152
17,compare,0.0,0.0556,0.0357,0.0238,0.0159,0.0,0.0385,0.0217,0.0,0.044,0.0769,0.0,0.018,0.0303,0.0,0.0606,0.0376,0.0435,0.0263,0.0,0.0139,0.0588,0.0133,0.0238,0.0333,0.0104,0.0238,0.0148,0.0238,0.0323,0.0544,0.0625,0.0272,0.0,0.0696,0.0382,0.0,0.0082,0.0426,0.0108,0.0597,0.0103,0.0247,0.0152,0.0435,0.0,0.0,0.0141,0.0385,0.0342,0.0192,0.0514,0.0357,0.0303,0.0571,0.016,0.0112,0.0481,0.0192,0.0833,0.0417,0.0682,0.0385,0.0,0.0,0.0442,0.0,0.0,0.0,0.0492,0.0263,0.0,0.0,0.0323,0.0,0.0323,0.0,0.006,0.05,0.0278,0.0612,0.0,0.0,0.0241,0.0,0.0,0.0,0.0,0.027,0.0213,0.0,0.0,0.0145,0.0,0.027,0.0556,0.0217,0.0357,0.0,0.0
18,interrog,0.0833,0.0556,0.0357,0.0,0.0476,0.0417,0.0192,0.0,0.0526,0.011,0.0,0.0179,0.036,0.0,0.0,0.0303,0.0226,0.0435,0.0,0.0,0.0417,0.0,0.04,0.0476,0.0333,0.0208,0.0,0.0099,0.0,0.0161,0.0068,0.0312,0.0204,0.0,0.0087,0.0191,0.0392,0.0082,0.0284,0.0323,0.0597,0.0103,0.037,0.0379,0.0,0.0,0.0833,0.0423,0.0256,0.0205,0.0192,0.0187,0.0,0.0303,0.0,0.0187,0.0112,0.0096,0.0192,0.0833,0.0,0.0227,0.0385,0.06,0.0,0.0221,0.0625,0.0,0.0,0.0,0.0263,0.025,0.0,0.0323,0.0,0.0242,0.0,0.012,0.0,0.0,0.0204,0.1667,0.0,0.012,0.0323,0.0,0.0,0.0,0.0135,0.0,0.0,0.0,0.0,0.0,0.0541,0.0556,0.0217,0.0179,0.0,0.0303
19,number,0.0,0.0,0.0,0.0,0.0317,0.0,0.0,0.0,0.0,0.0037,0.0154,0.0179,0.0,0.0,0.0,0.0303,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0119,0.0333,0.0729,0.0,0.0049,0.0,0.0161,0.0,0.0,0.0,0.0435,0.0174,0.0255,0.0,0.0,0.0071,0.0,0.0,0.0619,0.0,0.0076,0.0,0.0,0.0,0.0,0.0,0.0068,0.0,0.0,0.0,0.0,0.0286,0.008,0.0,0.0096,0.0,0.0,0.0,0.0227,0.0,0.04,0.0,0.0331,0.0,0.0,0.0,0.0328,0.0,0.0,0.0,0.0,0.0,0.0081,0.0,0.006,0.0,0.0278,0.0,0.0833,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0152
