,Category,Example0,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20,Example21,Example22,Example23,Example24,Example25,Example26,Example27,Example28,Example29,Example30,Example31,Example32,Example33,Example34,Example35,Example36,Example37,Example38,Example39,Example40,Example41,Example42,Example43,Example44,Example45,Example46,Example47,Example48,Example49,Example50,Example51,Example52,Example53,Example54,Example55,Example56,Example57,Example58,Example59,Example60,Example61,Example62,Example63,Example64,Example65,Example66,Example67,Example68,Example69,Example70,Example71,Example72,Example73,Example74,Example75,Example76,Example77,Example78,Example79,Example80,Example81,Example82,Example83,Example84,Example85,Example86,Example87,Example88,Example89,Example90,Example91,Example92,Example93,Example94,Example95,Example96,Example97,Example98,Example99
20,quant,0.0,0.0,0.0,0.0238,0.0,0.0,0.0385,0.0217,0.0,0.0073,0.0,0.0089,0.018,0.0303,0.0286,0.0303,0.0376,0.0,0.0,0.0303,0.0278,0.0,0.0533,0.0119,0.0333,0.0417,0.0238,0.0296,0.0238,0.0484,0.068,0.0312,0.0068,0.0435,0.0435,0.0573,0.0,0.0164,0.0284,0.0215,0.0149,0.0,0.0247,0.0303,0.0652,0.0,0.0833,0.0141,0.0513,0.0342,0.0385,0.0514,0.0,0.0606,0.0571,0.0455,0.0337,0.0288,0.0192,0.0833,0.0417,0.0682,0.0385,0.0,0.0417,0.0442,0.0,0.0,0.0,0.0164,0.0,0.0,0.0,0.0323,0.0278,0.0323,0.0,0.024,0.0,0.0,0.0204,0.0,0.0,0.012,0.0,0.0667,0.04,0.0385,0.0135,0.0,0.0,0.0,0.0435,0.0,0.0,0.0,0.0,0.0179,0.0,0.0
21,affect,0.0833,0.0556,0.1429,0.0714,0.0635,0.0833,0.0769,0.0652,0.1579,0.0769,0.0769,0.0536,0.0541,0.0909,0.0714,0.1515,0.0376,0.087,0.0526,0.0606,0.0694,0.1176,0.08,0.1071,0.1,0.0417,0.119,0.0591,0.0238,0.0645,0.068,0.0312,0.0272,0.087,0.0087,0.0318,0.098,0.0246,0.0496,0.0753,0.1343,0.134,0.0988,0.0682,0.0652,0.125,0.0833,0.0141,0.0385,0.0685,0.0,0.0467,0.0714,0.0909,0.0571,0.0321,0.0899,0.0288,0.0,0.1667,0.0417,0.0227,0.0385,0.08,0.1667,0.0663,0.125,0.0,0.1333,0.0656,0.1053,0.05,0.1,0.0645,0.0417,0.0484,0.1667,0.012,0.1,0.0556,0.0612,0.0,0.0556,0.0602,0.0484,0.1667,0.04,0.0769,0.0405,0.0851,0.0,0.0667,0.029,0.0,0.0811,0.0926,0.1087,0.125,0.0,0.0455
22,posemo,0.0833,0.0556,0.1071,0.0476,0.0635,0.0417,0.0385,0.0435,0.1053,0.0513,0.0462,0.0268,0.009,0.0606,0.0286,0.0909,0.0301,0.0435,0.0263,0.0606,0.0417,0.1176,0.0267,0.0714,0.0667,0.0208,0.0952,0.0246,0.0,0.0484,0.034,0.0312,0.0204,0.0435,0.0087,0.0191,0.0588,0.0082,0.0355,0.043,0.0746,0.0619,0.0864,0.0455,0.0435,0.0,0.0833,0.0,0.0385,0.0685,0.0,0.0374,0.0714,0.0909,0.0571,0.0107,0.0787,0.0288,0.0,0.1667,0.0417,0.0227,0.0,0.06,0.125,0.0442,0.125,0.0,0.0667,0.0656,0.1053,0.025,0.05,0.0645,0.0139,0.0323,0.0833,0.006,0.1,0.0556,0.0408,0.0,0.0556,0.012,0.0323,0.1,0.0,0.0192,0.0,0.0851,0.0,0.0667,0.029,0.0,0.0811,0.0741,0.087,0.0714,0.0,0.0303
23,negemo,0.0,0.0,0.0357,0.0,0.0,0.0417,0.0385,0.0217,0.0526,0.0256,0.0308,0.0179,0.045,0.0303,0.0429,0.0606,0.0075,0.0435,0.0263,0.0,0.0278,0.0,0.0533,0.0357,0.0333,0.0208,0.0238,0.0345,0.0238,0.0161,0.034,0.0,0.0068,0.0435,0.0,0.0127,0.0,0.0164,0.0071,0.0323,0.0597,0.0722,0.0123,0.0227,0.0217,0.125,0.0,0.0141,0.0,0.0,0.0,0.0047,0.0,0.0,0.0,0.0214,0.0112,0.0,0.0,0.0,0.0,0.0,0.0385,0.02,0.0417,0.0221,0.0,0.0,0.0667,0.0,0.0,0.025,0.05,0.0,0.0278,0.0081,0.0,0.006,0.0,0.0,0.0204,0.0,0.0,0.0361,0.0161,0.0667,0.04,0.0577,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0185,0.0217,0.0536,0.0,0.0152
24,anx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073,0.0154,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0263,0.0,0.0139,0.0,0.04,0.0119,0.0,0.0104,0.0,0.0,0.0,0.0,0.0068,0.0,0.0,0.0435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278,0.0,0.0,0.0,0.0,0.0,0.0204,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0152
25,anger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089,0.0,0.0303,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119,0.0,0.0068,0.0,0.0,0.0,0.0,0.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0185,0.0,0.0,0.0,0.0
26,sad,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0143,0.0,0.0,0.0,0.0,0.0,0.0139,0.0,0.0133,0.0,0.0,0.0,0.0,0.0,0.0119,0.0,0.0,0.0,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047,0.0,0.0,0.0,0.0134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,social,0.1667,0.2778,0.1071,0.1667,0.1111,0.125,0.1731,0.087,0.1579,0.1355,0.0462,0.25,0.1622,0.0606,0.0,0.0606,0.1579,0.0435,0.1316,0.1515,0.1528,0.0,0.12,0.131,0.1,0.0417,0.0476,0.133,0.0119,0.0323,0.068,0.0625,0.034,0.0435,0.0696,0.1146,0.2157,0.123,0.078,0.0538,0.1194,0.1031,0.1481,0.1136,0.1087,0.25,0.1667,0.0704,0.1026,0.0753,0.0385,0.0981,0.1429,0.0303,0.0571,0.0963,0.0449,0.0962,0.0385,0.0833,0.2083,0.0909,0.2308,0.1,0.1458,0.0773,0.0625,0.0,0.0667,0.082,0.1316,0.15,0.15,0.1613,0.0556,0.1694,0.3333,0.0419,0.1,0.0833,0.0306,0.25,0.0556,0.1687,0.0968,0.0667,0.0,0.1154,0.0135,0.1277,0.0333,0.0667,0.1449,0.0,0.0811,0.1296,0.1739,0.1429,0.25,0.1212
28,family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0
29,friend,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0161,0.0,0.0,0.0,0.0,0.0,0.0,0.0392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037,0.0,0.1429,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,male,0.0,0.0,0.0,0.0,0.0159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0
32,cogproc,0.2917,0.1111,0.2143,0.2381,0.1905,0.1667,0.0385,0.1957,0.3158,0.1319,0.0769,0.1161,0.1892,0.1515,0.1857,0.1515,0.1278,0.1304,0.1842,0.2424,0.1111,0.1765,0.1467,0.1786,0.2,0.125,0.2381,0.2167,0.131,0.129,0.1565,0.1875,0.1293,0.087,0.1391,0.1656,0.1176,0.2295,0.1844,0.2043,0.2537,0.3093,0.1111,0.2045,0.1522,0.25,0.3333,0.1972,0.1538,0.0822,0.1346,0.1215,0.0714,0.1515,0.2286,0.0882,0.1348,0.1442,0.1154,0.25,0.125,0.1591,0.1538,0.14,0.125,0.2044,0.125,0.0,0.3333,0.1311,0.1053,0.15,0.3,0.1935,0.1111,0.1613,0.0833,0.1796,0.15,0.1111,0.0816,0.1667,0.1667,0.1807,0.0968,0.2333,0.16,0.1154,0.0946,0.1064,0.0333,0.2,0.1739,0.0,0.1351,0.2222,0.087,0.2857,0.0833,0.0758
33,insight,0.0417,0.0,0.1429,0.119,0.0952,0.0833,0.0,0.0652,0.1053,0.0403,0.0462,0.0536,0.027,0.0303,0.0429,0.0,0.0526,0.0435,0.0789,0.0,0.0139,0.0,0.04,0.0714,0.0667,0.0208,0.0238,0.0739,0.0238,0.0323,0.0544,0.125,0.0544,0.0,0.0348,0.0382,0.0784,0.0656,0.078,0.0108,0.0746,0.134,0.0247,0.0606,0.087,0.0,0.0833,0.0986,0.0769,0.0411,0.0769,0.0047,0.0714,0.1212,0.1429,0.0348,0.0225,0.0577,0.0577,0.1667,0.0,0.0227,0.0,0.06,0.0417,0.0221,0.0625,0.0,0.0667,0.0164,0.0789,0.0,0.15,0.0,0.0278,0.0887,0.0,0.0539,0.0,0.0556,0.0306,0.0833,0.0,0.0602,0.0161,0.1,0.04,0.0,0.027,0.0426,0.0333,0.1,0.0725,0.0,0.027,0.0741,0.0217,0.0179,0.0,0.0152
34,cause,0.0417,0.0556,0.0357,0.0714,0.0159,0.0,0.0,0.0217,0.1053,0.022,0.0,0.0089,0.045,0.0606,0.0429,0.0303,0.015,0.0,0.0,0.0303,0.0139,0.0,0.0267,0.0476,0.0333,0.0312,0.0238,0.0148,0.0119,0.0,0.0136,0.0,0.034,0.0,0.0261,0.0191,0.0,0.0328,0.0,0.0108,0.0448,0.0619,0.0617,0.1288,0.0,0.0,0.0833,0.0282,0.0256,0.0205,0.0,0.0187,0.0,0.0303,0.0,0.0187,0.0112,0.0481,0.0,0.0833,0.0,0.0227,0.0385,0.02,0.0417,0.0387,0.0,0.0,0.0667,0.0328,0.0,0.025,0.05,0.0323,0.0139,0.0242,0.0833,0.0539,0.0,0.0556,0.0,0.0833,0.0556,0.0241,0.0323,0.1333,0.04,0.0385,0.027,0.0,0.0,0.0,0.0145,0.0,0.027,0.0,0.0217,0.0536,0.0,0.0
35,discrep,0.0417,0.0,0.0357,0.0238,0.0317,0.0,0.0,0.0435,0.0526,0.011,0.0,0.0089,0.045,0.0606,0.0286,0.0909,0.0226,0.0,0.0263,0.0,0.0556,0.0,0.0,0.0238,0.0333,0.0417,0.0714,0.0542,0.0476,0.0323,0.0272,0.0,0.0068,0.0,0.0,0.051,0.0196,0.0246,0.0284,0.0753,0.0448,0.0309,0.0123,0.0227,0.0217,0.125,0.0833,0.0282,0.0,0.0068,0.0,0.0234,0.0,0.0,0.0,0.0,0.0225,0.0192,0.0192,0.0,0.0417,0.0,0.0769,0.02,0.0417,0.0221,0.0,0.0,0.0667,0.0164,0.0,0.05,0.05,0.0,0.0,0.0081,0.0,0.0359,0.0,0.0,0.0,0.0,0.0,0.0602,0.0161,0.0667,0.08,0.0192,0.0,0.0213,0.0,0.0333,0.029,0.0,0.027,0.037,0.0217,0.0714,0.0,0.0
36,tentat,0.0417,0.0556,0.0,0.0476,0.0159,0.0417,0.0192,0.0435,0.0,0.0256,0.0154,0.0089,0.036,0.0303,0.0143,0.0,0.0376,0.0,0.0263,0.0909,0.0278,0.0,0.04,0.0,0.0,0.0,0.0238,0.0493,0.0357,0.0323,0.0272,0.0,0.0136,0.0435,0.0261,0.051,0.0588,0.0738,0.0142,0.0538,0.0746,0.0309,0.0123,0.0,0.0,0.125,0.1667,0.0423,0.0128,0.0,0.0385,0.0187,0.0,0.0,0.0571,0.0053,0.0225,0.0481,0.0385,0.0833,0.0833,0.0227,0.0,0.04,0.0,0.0387,0.0625,0.0,0.1333,0.0164,0.0,0.05,0.0,0.0323,0.0417,0.0403,0.0,0.024,0.05,0.0,0.0204,0.0,0.0,0.012,0.0,0.0,0.0,0.0385,0.0135,0.0213,0.0,0.0667,0.029,0.0,0.027,0.0926,0.0217,0.0357,0.0833,0.0152
37,certain,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0217,0.0,0.0073,0.0,0.0179,0.009,0.0,0.0286,0.0303,0.0075,0.0,0.0263,0.0303,0.0278,0.0588,0.0,0.0119,0.0,0.0,0.0,0.0049,0.0119,0.0,0.0136,0.0312,0.0136,0.0,0.0,0.0127,0.0,0.0164,0.0284,0.0215,0.0,0.0206,0.0,0.0152,0.0217,0.0,0.0,0.0,0.0256,0.0,0.0,0.0327,0.0,0.0,0.0,0.0187,0.0449,0.0,0.0,0.0,0.0,0.0,0.0385,0.0,0.0,0.0387,0.0,0.0,0.0,0.0328,0.0263,0.0,0.0,0.0323,0.0278,0.0242,0.0,0.006,0.0,0.0,0.0204,0.0,0.1111,0.012,0.0,0.0,0.0,0.0192,0.0,0.0213,0.0,0.0333,0.029,0.0,0.0,0.037,0.0217,0.0714,0.0,0.0
38,differ,0.125,0.0556,0.0,0.0238,0.0317,0.0417,0.0192,0.0,0.0526,0.0476,0.0308,0.0179,0.036,0.0303,0.0286,0.0,0.0075,0.087,0.0526,0.1212,0.0278,0.1176,0.0533,0.0238,0.0667,0.0312,0.1429,0.0542,0.0357,0.0323,0.034,0.0312,0.0136,0.0435,0.0522,0.051,0.0196,0.0738,0.0426,0.0753,0.0299,0.0515,0.0,0.0076,0.0217,0.0,0.0833,0.0563,0.0128,0.0137,0.0192,0.0374,0.0,0.0,0.0857,0.0187,0.0225,0.0,0.0385,0.0,0.0,0.1136,0.0,0.04,0.0,0.0663,0.0,0.0,0.0667,0.0492,0.0,0.025,0.05,0.0968,0.0139,0.0081,0.0,0.0419,0.1,0.0,0.0204,0.0,0.0,0.0361,0.0323,0.0,0.0,0.0192,0.027,0.0,0.0,0.0333,0.0,0.0,0.0541,0.0556,0.0,0.0714,0.0,0.0606
39,percept,0.125,0.0556,0.1071,0.0238,0.0159,0.0,0.0385,0.0217,0.0,0.0476,0.0769,0.0089,0.027,0.0303,0.0,0.0303,0.0526,0.0,0.0263,0.0,0.0,0.0,0.0267,0.0238,0.0333,0.0104,0.0476,0.0049,0.0357,0.0161,0.0204,0.0312,0.0136,0.0,0.0087,0.0573,0.0,0.0164,0.0284,0.0323,0.0,0.0,0.037,0.0076,0.0435,0.0,0.0,0.0,0.0,0.0411,0.0192,0.0234,0.0,0.0303,0.0286,0.0241,0.0112,0.0288,0.0192,0.0,0.125,0.0909,0.0,0.0,0.0208,0.011,0.0,0.0,0.0,0.0,0.0789,0.0,0.05,0.0323,0.0,0.0081,0.0,0.0,0.05,0.0,0.0204,0.0,0.0,0.0241,0.0161,0.0333,0.04,0.0,0.0,0.0,0.0333,0.0333,0.0,0.0,0.027,0.037,0.0,0.0179,0.0,0.0152
40,see,0.0,0.0,0.0,0.0,0.0159,0.0,0.0,0.0217,0.0,0.0183,0.0769,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333,0.0104,0.0238,0.0,0.0357,0.0,0.0,0.0,0.0068,0.0,0.0087,0.0318,0.0,0.0164,0.0142,0.0323,0.0,0.0,0.0,0.0076,0.0217,0.0,0.0,0.0,0.0,0.0342,0.0192,0.0093,0.0,0.0,0.0286,0.0107,0.0,0.0192,0.0192,0.0,0.0,0.0909,0.0,0.0,0.0,0.0055,0.0,0.0,0.0,0.0,0.0263,0.0,0.05,0.0,0.0,0.0081,0.0,0.0,0.05,0.0,0.0102,0.0,0.0,0.0,0.0161,0.0,0.04,0.0,0.0,0.0,0.0333,0.0333,0.0,0.0,0.0,0.0,0.0,0.0179,0.0,0.0152
41,hear,0.0833,0.0556,0.0357,0.0,0.0,0.0,0.0385,0.0,0.0,0.0183,0.0,0.0089,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0133,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,0.0136,0.0312,0.0,0.0,0.0,0.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0217,0.0,0.0,0.0,0.0,0.0,0.0,0.0093,0.0,0.0,0.0,0.0053,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0055,0.0,0.0,0.0,0.0,0.0263,0.0,0.0,0.0323,0.0,0.0,0.0,0.0,0.0,0.0,0.0102,0.0,0.0,0.0241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0185,0.0,0.0,0.0,0.0
42,feel,0.0,0.0,0.0714,0.0238,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.018,0.0303,0.0,0.0303,0.0376,0.0,0.0,0.0,0.0,0.0,0.0133,0.0,0.0,0.0,0.0238,0.0,0.0,0.0161,0.0,0.0,0.0,0.0,0.0,0.0127,0.0,0.0,0.0142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,0.0,0.0047,0.0,0.0303,0.0,0.0053,0.0,0.0,0.0,0.0,0.0417,0.0,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0185,0.0,0.0,0.0,0.0
43,bio,0.0,0.0,0.0,0.0,0.0159,0.0,0.0,0.0,0.0,0.0037,0.0,0.0,0.009,0.0303,0.0,0.0,0.0526,0.0,0.0263,0.0,0.0,0.0,0.0,0.0119,0.0,0.0,0.0,0.0,0.0119,0.0,0.0068,0.0,0.0068,0.0,0.0087,0.0064,0.0,0.0,0.0,0.0,0.0,0.0103,0.0123,0.0076,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0093,0.0,0.0303,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.1154,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0263,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0152
44,body,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037,0.0,0.0,0.009,0.0303,0.0,0.0,0.0526,0.0,0.0,0.0,0.0,0.0,0.0,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,0.0,0.0,0.0,0.0,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0047,0.0,0.0303,0.0,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119,0.0,0.0,0.0,0.0,0.0,0.0087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047,0.0,0.0,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0263,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,sexual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,ingest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,drives,0.1667,0.1667,0.1071,0.119,0.0635,0.0417,0.1538,0.087,0.2105,0.1245,0.1231,0.0982,0.1171,0.1212,0.1143,0.2121,0.1128,0.0435,0.0789,0.2424,0.0694,0.0588,0.16,0.131,0.1,0.1354,0.1429,0.1034,0.0357,0.2097,0.1293,0.125,0.1088,0.1304,0.0435,0.1529,0.1569,0.1148,0.0567,0.1183,0.1642,0.2062,0.0617,0.197,0.087,0.125,0.0833,0.0423,0.2051,0.0959,0.0,0.1121,0.1429,0.1212,0.0571,0.139,0.1236,0.0673,0.0769,0.0833,0.125,0.0682,0.1923,0.04,0.1042,0.1326,0.1875,0.0,0.0667,0.0984,0.1842,0.125,0.15,0.1935,0.0694,0.2016,0.0833,0.0599,0.1,0.1111,0.1633,0.0,0.0556,0.1928,0.1452,0.3667,0.16,0.0769,0.0676,0.1489,0.1,0.1,0.087,0.0,0.1351,0.0926,0.1522,0.1607,0.3333,0.1212
49,affiliation,0.0833,0.1111,0.0,0.0238,0.0159,0.0,0.0385,0.0217,0.0526,0.0,0.0154,0.0357,0.045,0.0606,0.0,0.0303,0.0226,0.0,0.0263,0.1212,0.0139,0.0,0.0667,0.0238,0.0333,0.0208,0.0,0.0345,0.0,0.0161,0.0068,0.0,0.0068,0.0,0.0087,0.051,0.0588,0.0246,0.0071,0.0215,0.0896,0.0722,0.037,0.0227,0.0,0.125,0.0,0.0141,0.0641,0.0342,0.0,0.0421,0.0357,0.0,0.0286,0.0294,0.0225,0.0192,0.0,0.0833,0.0833,0.0227,0.1923,0.02,0.0,0.0221,0.0625,0.0,0.0,0.0164,0.0789,0.0,0.05,0.0645,0.0278,0.0968,0.0833,0.0,0.05,0.0278,0.0102,0.0,0.0,0.0602,0.0161,0.0667,0.0,0.0577,0.0135,0.0213,0.0333,0.0333,0.058,0.0,0.0541,0.0,0.0435,0.0357,0.1667,0.0758
